計測時刻,PM2.5(μg/㎥),PM10(PM2.5は除く)(μg/㎥),VOC(ppb),UV(Index),温度(℃),湿度(％),照度(lx),気圧(hPa)
2018/07/24 19:56,3,2,5,0,33.3,53.7,18,1006.0
2018/07/24 20:01,5,7,5,0,34.3,50.5,18,1006.1
2018/07/24 20:06,2,4,3,0,35.0,48.8,18,1006.1
2018/07/24 20:11,1,6,4,0,35.4,47.3,18,1006.1
2018/07/24 20:14,8,1,5,0,35.6,46.3,18,1006.1
2018/07/24 20:44,9,3,24,0,35.0,46.3,18,1006.6
2018/07/24 21:14,9,6,82,0,36.2,45.3,18,1006.7
2018/07/24 21:44,13,2,87,0,35.4,46.3,18,1006.9
2018/07/24 22:14,20,12,105,0,32.3,53.6,18,1006.8
2018/07/24 22:44,16,17,216,0,30.9,59.3,18,1006.9
2018/07/24 23:14,18,16,286,0,30.1,63.6,0,1006.9
2018/07/24 23:44,21,16,363,0,30.2,64.5,0,1006.9
2018/07/25 00:14,21,14,446,0,30.0,65.3,0,1006.8
2018/07/25 00:44,20,21,479,0,30.0,66.1,0,1006.5
2018/07/25 01:14,18,18,570,0,30.0,66.2,0,1006.6
2018/07/25 01:44,19,16,651,0,29.9,67.0,0,1006.7
2018/07/25 02:14,21,18,720,0,30.1,66.7,0,1006.8
2018/07/25 02:44,20,19,742,0,30.1,67.1,0,1007.0
2018/07/25 03:14,22,22,846,0,30.1,67.3,0,1007.0
2018/07/25 03:44,21,16,924,0,29.8,68.3,0,1007.2
2018/07/25 04:14,21,17,931,0,29.9,67.9,0,1007.2
2018/07/25 04:44,20,17,944,0,29.9,68.0,0,1007.4
2018/07/25 05:14,20,20,964,0,30.0,67.7,0,1007.5
2018/07/25 05:44,26,19,955,0,30.0,67.6,1,1007.8
2018/07/25 06:14,25,20,954,0,30.3,66.9,1,1008.0
2018/07/25 06:44,23,24,664,0,30.0,68.4,32,1008.1
2018/07/25 07:14,26,26,723,0,29.1,66.7,41,1008.2
2018/07/25 07:44,20,17,1000,0,29.6,65.7,10,1008.2
2018/07/25 08:14,21,19,1000,0,29.6,67.1,7,1008.4
2018/07/25 08:44,22,19,1000,0,30.1,66.3,12,1008.5
2018/07/25 09:14,20,16,765,0,30.1,67.1,12,1008.6
2018/07/25 09:44,22,17,631,0,30.4,66.8,16,1008.4
2018/07/25 10:14,20,16,529,0,30.7,66.3,22,1008.4
2018/07/25 10:44,19,19,464,0,30.7,66.3,13,1008.5
2018/07/25 11:14,23,19,438,0,30.9,65.9,14,1008.2
2018/07/25 11:44,22,18,415,0,31.0,65.8,16,1008.0
2018/07/25 12:14,21,24,386,0,31.2,65.6,12,1007.9
2018/07/25 12:44,23,19,386,0,31.3,65.4,11,1007.8
2018/07/25 13:14,22,25,382,0,31.4,65.4,11,1007.7
2018/07/25 13:44,21,22,382,0,31.3,65.5,11,1007.6
2018/07/25 14:14,23,23,389,0,31.6,64.9,10,1007.4
2018/07/25 14:44,21,22,400,0,31.6,64.6,9,1007.2
2018/07/25 15:14,24,22,411,0,31.8,64.3,7,1007.1
2018/07/25 15:44,21,20,400,0,31.7,64.2,7,1007.0
2018/07/25 16:14,23,20,424,0,31.9,63.5,7,1007.2
2018/07/25 16:44,25,21,436,0,31.8,63.5,6,1007.5
2018/07/25 17:14,24,22,448,0,32.1,62.8,5,1007.5
2018/07/25 17:44,24,23,455,0,31.8,63.0,2,1007.9
2018/07/25 18:14,27,26,818,0,30.8,59.5,15,1008.3
2018/07/25 18:44,28,29,1000,0,30.1,57.5,12,1008.5
2018/07/25 19:14,23,25,889,0,29.8,57.0,12,1008.6
2018/07/25 19:44,24,18,781,0,29.0,58.7,13,1009.1
2018/07/25 20:14,20,17,706,0,28.9,58.0,11,1009.4
2018/07/25 20:44,21,16,659,0,28.7,58.2,11,1009.3
2018/07/25 21:14,15,21,617,0,28.4,60.2,11,1009.3
2018/07/25 21:44,17,11,643,0,28.5,65.9,11,1009.3
2018/07/25 22:14,17,13,605,0,28.5,66.2,11,1009.2
2018/07/25 22:44,19,16,587,0,28.8,67.7,11,1009.2
2018/07/25 23:14,18,16,567,0,28.6,68.9,11,1009.4
2018/07/25 23:44,22,14,685,0,28.4,63.5,11,1009.2
2018/07/26 00:14,21,15,682,0,27.9,60.7,11,1009.0
2018/07/26 00:44,18,11,737,0,28.4,62.8,0,1008.9
2018/07/26 01:14,15,14,697,0,28.7,63.4,0,1008.6
2018/07/26 01:44,17,12,680,0,28.8,64.0,0,1008.7
2018/07/26 02:14,20,11,634,0,28.9,64.2,0,1008.5
2018/07/26 02:44,17,16,625,0,28.9,64.5,0,1008.5
2018/07/26 03:14,18,13,625,0,29.2,63.8,0,1008.5
2018/07/26 03:44,17,16,613,0,28.9,64.7,0,1008.3
2018/07/26 04:14,20,13,630,0,28.9,64.7,0,1008.6
2018/07/26 04:44,19,17,605,0,29.1,64.3,0,1008.7
2018/07/26 05:14,16,18,605,0,28.9,64.7,0,1009.0
2018/07/26 05:44,17,14,605,0,28.9,64.7,0,1009.0
2018/07/26 06:14,19,18,613,0,28.8,64.7,2,1009.2
2018/07/26 06:44,23,14,597,0,29.1,64.5,9,1009.3
2018/07/26 07:14,19,15,560,0,28.9,65.0,16,1009.5
2018/07/26 07:44,18,12,1000,0,29.1,64.3,10,1009.8
2018/07/26 08:14,17,13,1000,0,29.3,62.8,18,1009.8
2018/07/26 08:44,19,15,1000,0,29.4,62.5,15,1009.8
2018/07/26 09:14,21,16,703,0,29.8,60.8,12,1010.0
2018/07/26 09:44,19,16,598,0,29.6,61.2,11,1010.2
2018/07/26 10:14,19,16,401,0,29.6,60.5,16,1010.2
2018/07/26 10:44,21,21,457,0,29.6,60.4,18,1009.9
2018/07/26 11:14,21,16,446,0,29.9,59.6,16,1009.6
2018/07/26 11:44,21,15,426,0,30.1,59.0,12,1009.4
2018/07/26 12:14,17,18,518,0,30.5,58.1,12,1009.0
2018/07/26 12:44,19,13,480,0,30.6,57.5,12,1008.9
2018/07/26 13:14,19,17,497,0,30.6,57.3,9,1008.6
2018/07/26 13:44,18,16,500,0,30.5,57.5,10,1008.4
2018/07/26 14:14,18,13,379,0,30.6,55.2,7,1008.2
2018/07/26 14:44,18,12,374,0,30.9,53.9,6,1008.0
2018/07/26 15:14,20,16,374,0,30.6,54.3,6,1007.9
2018/07/26 15:44,16,13,400,0,30.6,54.3,5,1007.6
2018/07/26 16:14,19,13,386,0,30.4,54.2,5,1007.6
2018/07/26 16:44,19,12,391,0,30.3,53.5,5,1007.6
2018/07/26 17:14,21,13,398,0,30.3,53.2,3,1007.6
2018/07/26 17:44,21,12,411,0,30.1,54.1,2,1007.9
2018/07/26 18:14,22,20,593,0,30.4,53.8,2,1008.1
2018/07/26 18:44,25,18,792,0,29.8,55.4,0,1008.1
2018/07/26 19:14,20,19,438,0,30.2,54.5,12,1008.0
2018/07/26 19:44,23,16,0,0,29.9,55.7,11,1008.2
2018/07/26 20:14,26,23,0,0,29.1,56.9,12,1008.4
2018/07/26 20:44,24,27,0,0,29.2,56.7,11,1008.7
2018/07/26 21:14,30,20,0,0,28.7,58.0,11,1008.7
2018/07/26 21:44,26,20,3,0,29.0,57.6,11,1008.6
2018/07/26 22:14,24,19,8,0,28.6,58.2,11,1008.6
2018/07/26 22:44,24,22,8,0,28.3,59.5,11,1008.6
2018/07/26 23:14,28,35,10,0,28.0,60.7,11,1008.5
2018/07/26 23:44,22,21,13,0,28.2,60.9,11,1008.6
2018/07/27 00:14,24,23,13,0,28.1,61.5,11,1008.5
2018/07/27 00:44,24,21,7,0,28.1,61.7,11,1008.2
2018/07/27 01:14,25,22,17,0,28.5,60.8,0,1008.1
2018/07/27 01:44,22,25,26,0,28.8,60.0,0,1008.3
2018/07/27 02:14,24,28,19,0,28.6,60.2,0,1008.2
2018/07/27 02:44,24,21,25,0,28.5,60.3,0,1008.2
2018/07/27 03:14,22,25,26,0,28.4,60.2,0,1008.3
2018/07/27 03:44,24,19,18,0,28.2,60.8,0,1008.1
2018/07/27 04:14,26,24,20,0,28.1,61.0,0,1008.3
2018/07/27 04:44,25,22,21,0,28.4,60.3,0,1008.2
2018/07/27 05:14,23,18,28,0,28.4,60.0,3,1008.0
2018/07/27 05:44,25,26,28,0,28.1,60.8,5,1008.3
2018/07/27 06:14,23,18,24,0,28.5,59.7,26,1008.2
2018/07/27 06:44,26,22,25,0,28.4,59.8,47,1008.4
2018/07/27 07:14,27,24,104,0,28.8,60.3,55,1008.5
2018/07/27 07:44,23,24,521,0,29.2,59.1,57,1008.6
2018/07/27 08:14,22,20,183,0,29.4,58.6,55,1008.7
2018/07/27 08:44,27,24,90,0,29.5,57.8,15,1009.0
2018/07/27 09:14,27,22,57,0,29.9,57.3,17,1008.7
2018/07/27 09:44,22,22,41,0,29.8,57.4,8,1009.1
2018/07/27 10:14,25,23,32,0,29.8,57.1,19,1008.9
2018/07/27 10:44,23,18,26,0,30.0,55.9,12,1008.8
2018/07/27 11:14,24,23,23,0,29.9,56.4,13,1008.8
2018/07/27 11:44,25,19,21,0,29.7,56.7,10,1008.4
2018/07/27 12:14,21,18,26,0,30.1,56.0,13,1008.2
2018/07/27 12:44,23,23,27,0,30.0,56.7,16,1007.8
2018/07/27 13:14,25,25,29,0,30.1,56.4,16,1007.4
2018/07/27 13:44,22,20,25,0,30.3,55.7,7,1007.7
2018/07/27 14:14,24,20,27,0,30.2,55.1,10,1007.7
2018/07/27 14:44,21,23,26,0,30.2,55.2,11,1007.3
2018/07/27 15:14,24,20,30,0,30.2,55.2,8,1007.4
2018/07/27 15:44,24,18,34,0,30.2,55.2,7,1007.0
2018/07/27 16:14,21,14,36,0,30.1,55.3,6,1007.1
2018/07/27 16:44,22,20,33,0,30.0,55.5,3,1006.9
2018/07/27 17:14,23,17,29,0,29.8,55.8,3,1006.9
2018/07/27 17:44,24,19,27,0,29.7,56.0,2,1007.0
2018/07/27 18:14,24,17,27,0,29.3,58.3,13,1007.1
2018/07/27 18:44,21,15,15,0,29.0,59.7,12,1006.9
2018/07/27 19:14,24,20,6,0,28.5,60.7,1,1007.1
2018/07/27 19:44,24,20,1,0,28.1,61.7,1,1007.2
2018/07/27 20:14,24,17,0,0,27.9,62.5,0,1007.4
2018/07/27 20:44,23,21,7,0,27.9,62.9,11,1007.5
2018/07/27 21:14,24,23,15,0,28.1,61.8,11,1007.3
2018/07/27 21:44,20,21,16,0,28.1,61.5,11,1007.1
2018/07/27 22:14,21,16,11,0,27.8,62.1,11,1007.1
2018/07/27 22:44,18,14,15,0,27.8,62.1,11,1007.2
2018/07/27 23:14,22,15,18,0,27.8,62.4,11,1007.0
2018/07/27 23:44,19,15,11,0,27.6,62.6,11,1006.8
2018/07/28 00:14,19,19,18,0,27.8,61.9,0,1006.4
2018/07/28 00:44,20,16,20,0,27.8,62.0,0,1006.3
2018/07/28 01:14,19,20,22,0,27.8,62.7,0,1005.9
2018/07/28 01:44,19,20,21,0,27.7,63.1,0,1005.6
2018/07/28 02:14,18,18,21,0,27.6,63.4,0,1005.2
2018/07/28 02:44,21,26,19,0,27.5,63.4,0,1005.1
2018/07/28 03:14,20,20,22,0,27.3,64.2,0,1004.8
2018/07/28 03:44,21,17,19,0,27.1,65.0,0,1004.6
2018/07/28 04:14,22,18,20,0,27.0,65.3,0,1004.5
2018/07/28 04:44,20,17,19,0,27.0,65.2,0,1004.6
2018/07/28 05:14,19,17,21,0,26.9,65.8,0,1004.7
2018/07/28 05:44,22,16,23,0,27.0,65.9,0,1004.6
2018/07/28 06:14,16,15,23,0,27.0,66.7,0,1004.6
2018/07/28 06:44,19,17,23,0,26.9,67.2,2,1004.6
2018/07/28 07:14,19,14,23,0,26.8,68.5,4,1004.6
2018/07/28 07:44,16,17,23,0,26.9,69.1,5,1004.6
2018/07/28 08:14,18,15,24,0,26.9,70.3,2,1004.4
2018/07/28 08:44,18,14,23,0,27.0,71.9,7,1004.2
2018/07/28 09:14,15,14,23,0,27.1,74.7,12,1004.1
2018/07/28 09:44,17,15,23,0,27.0,74.1,12,1004.0
2018/07/28 10:14,17,15,26,0,27.3,74.2,27,1003.6
2018/07/28 10:44,17,13,38,0,27.6,74.6,12,1003.3
2018/07/28 11:14,16,14,36,0,28.0,74.2,12,1003.1
2018/07/28 11:44,16,17,29,0,28.1,74.7,20,1002.6
2018/07/28 12:14,17,15,33,0,28.4,74.3,21,1002.1
2018/07/28 12:44,18,16,35,0,28.6,74.2,17,1001.4
2018/07/28 13:14,18,15,26,0,28.7,74.4,17,1001.2
2018/07/28 13:44,19,23,19,0,28.3,70.3,20,1000.5
2018/07/28 14:14,22,18,29,0,28.1,66.6,16,999.8
2018/07/28 14:44,23,18,38,0,27.6,64.9,15,999.2
2018/07/28 15:14,30,19,45,0,27.3,64.0,12,998.5
2018/07/28 15:44,26,15,44,0,27.4,63.0,1,998.3
2018/07/28 16:14,18,24,44,0,27.1,66.1,11,997.8
2018/07/28 16:44,18,18,41,0,26.9,69.5,11,997.9
2018/07/28 17:14,21,16,38,0,26.8,72.9,12,997.7
2018/07/28 17:44,19,26,26,0,26.8,69.4,12,997.7
2018/07/28 18:14,33,39,52,0,26.6,67.5,11,997.9
2018/07/28 18:44,26,25,46,0,26.5,65.5,11,998.5
2018/07/28 19:14,22,21,40,0,26.2,65.5,12,998.5
2018/07/28 19:44,19,21,45,0,25.9,65.4,11,999.3
2018/07/28 20:14,21,28,47,0,26.0,69.0,12,999.8
2018/07/28 20:44,24,25,36,0,25.8,66.7,11,1000.3
2018/07/28 21:14,24,14,37,0,26.1,71.9,0,1000.5
2018/07/28 21:44,23,28,30,0,26.2,67.9,12,1000.7
2018/07/28 22:14,23,16,32,0,25.9,66.4,12,1000.8
2018/07/28 22:44,25,20,35,0,25.6,67.2,11,1000.6
2018/07/28 23:14,23,15,34,0,26.1,68.9,11,1000.8
2018/07/28 23:44,21,16,33,0,26.6,72.5,11,1000.8
2018/07/29 00:14,21,19,39,0,26.9,74.0,0,1001.0
2018/07/29 00:44,22,17,28,0,27.1,68.4,0,1001.0
2018/07/29 01:14,23,15,31,0,27.1,66.8,0,1000.9
2018/07/29 01:44,23,18,37,0,27.3,70.3,0,1000.9
2018/07/29 02:14,19,14,34,0,27.4,72.1,0,1001.2
2018/07/29 02:44,21,17,34,0,27.6,73.0,0,1001.2
2018/07/29 03:14,19,16,26,0,27.6,74.1,0,1001.2
2018/07/29 03:44,20,18,28,0,27.6,74.7,0,1001.4
2018/07/29 04:14,20,19,28,0,27.8,74.9,0,1001.6
2018/07/29 04:44,20,21,29,0,27.7,75.3,0,1001.7
2018/07/29 05:14,21,25,29,0,27.9,75.2,0,1002.2
2018/07/29 05:44,19,16,29,0,27.9,75.5,0,1002.5
2018/07/29 06:14,21,19,29,0,28.0,76.1,0,1002.9
2018/07/29 06:44,21,17,27,0,28.0,76.2,56,1003.2
2018/07/29 07:14,23,24,20,0,27.6,71.2,21,1003.3
2018/07/29 07:44,24,19,24,0,27.2,68.4,32,1003.6
2018/07/29 08:14,19,21,33,0,27.7,71.3,24,1003.8
2018/07/29 08:44,18,18,31,0,28.1,72.6,52,1004.0
2018/07/29 09:14,23,18,22,0,28.2,72.2,38,1004.4
2018/07/29 09:44,24,17,26,0,27.8,67.6,17,1004.2
2018/07/29 10:14,20,14,32,0,27.4,65.8,15,1004.6
2018/07/29 10:44,20,17,38,0,26.9,67.5,15,1004.6
2018/07/29 11:14,17,14,36,0,26.7,67.7,20,1004.4
2018/07/29 11:44,20,14,41,0,26.9,67.5,14,1004.5
2018/07/29 12:14,21,20,42,0,27.0,67.2,14,1004.5
2018/07/29 12:44,22,17,34,0,26.9,67.3,13,1004.3
2018/07/29 13:14,18,15,34,0,26.9,66.4,12,1004.5
2018/07/29 13:44,20,14,38,0,26.8,66.7,11,1004.5
2018/07/29 14:14,22,22,38,0,26.7,66.7,12,1004.4
2018/07/29 14:44,19,17,37,0,26.6,66.5,11,1004.4
2018/07/29 15:14,19,18,37,0,26.6,66.4,10,1004.5
2018/07/29 15:44,21,19,39,0,26.6,66.3,9,1004.7
2018/07/29 16:14,22,18,62,0,26.7,66.6,9,1004.7
2018/07/29 16:44,20,23,59,0,26.7,65.8,7,1004.9
2018/07/29 17:14,21,14,50,0,26.8,71.7,7,1005.3
2018/07/29 17:44,20,14,45,0,27.2,69.7,5,1005.5
2018/07/29 18:14,21,14,36,0,27.1,67.0,3,1005.9
2018/07/29 18:44,23,17,42,0,27.0,66.0,12,1006.1
2018/07/29 19:14,20,15,44,0,26.7,65.9,12,1006.6
2018/07/29 19:44,22,16,39,0,26.7,65.0,12,1007.1
2018/07/29 20:14,18,15,38,0,26.7,71.5,11,1007.3
2018/07/29 20:44,21,24,43,0,26.7,70.2,11,1007.6
2018/07/29 21:14,18,20,42,0,26.8,72.8,11,1007.7
2018/07/29 21:44,19,18,37,0,26.7,74.1,11,1007.8
2018/07/29 22:14,20,16,19,0,26.6,75.9,11,1008.0
2018/07/29 22:44,21,15,18,0,26.7,74.7,0,1008.1
2018/07/29 23:14,23,19,18,0,26.6,70.2,11,1008.0
2018/07/29 23:44,23,16,20,0,26.3,68.4,11,1008.0
2018/07/30 00:14,20,17,26,0,26.4,69.4,11,1008.0
2018/07/30 00:44,24,17,26,0,27.0,72.2,0,1007.8
2018/07/30 01:14,19,15,19,0,27.4,73.1,0,1007.7
2018/07/30 01:44,20,19,20,0,27.5,74.2,0,1007.6
2018/07/30 02:14,20,15,16,0,27.6,74.7,0,1007.6
2018/07/30 02:44,20,17,15,0,27.7,74.5,0,1007.7
2018/07/30 03:14,20,19,16,0,27.8,75.1,0,1007.6
2018/07/30 03:44,17,20,17,0,27.8,75.2,0,1007.8
2018/07/30 04:14,19,19,16,0,27.8,75.3,0,1007.8
2018/07/30 04:44,21,19,16,0,27.8,75.3,0,1007.9
2018/07/30 05:14,20,18,14,0,27.8,75.8,1,1007.9
2018/07/30 05:44,20,22,13,0,27.8,76.3,1,1007.9
2018/07/30 06:14,23,16,13,0,27.9,76.1,2,1008.1
2018/07/30 06:44,25,19,17,0,27.9,75.5,24,1008.2
2018/07/30 07:14,27,32,0,0,27.6,77.2,8,1008.3
2018/07/30 07:44,31,40,167,0,27.7,74.7,5,1008.4
2018/07/30 08:14,29,34,97,0,28.2,74.6,59,1008.5
2018/07/30 08:44,29,34,56,0,28.3,75.4,53,1008.6
2018/07/30 09:14,28,31,37,0,28.7,74.6,41,1008.6
2018/07/30 09:44,25,20,28,0,29.3,73.6,30,1008.6
2018/07/30 10:14,25,32,26,0,29.7,72.5,24,1008.4
2018/07/30 10:44,19,22,22,0,29.8,72.6,22,1008.2
2018/07/30 11:14,21,17,16,0,29.8,73.0,12,1008.0
2018/07/30 11:44,22,16,20,0,30.0,72.3,14,1007.8
2018/07/30 12:14,21,19,16,0,30.2,72.0,17,1007.6
2018/07/30 12:44,21,24,17,0,30.4,71.8,16,1007.5
2018/07/30 13:14,20,17,15,0,30.5,71.7,15,1007.4
2018/07/30 13:44,19,17,13,0,30.6,71.7,11,1007.2
2018/07/30 14:14,20,18,11,0,30.8,71.4,10,1007.1
2018/07/30 14:44,17,22,10,0,30.7,71.7,9,1006.9
2018/07/30 15:14,21,17,10,0,30.9,71.1,7,1006.8
2018/07/30 15:44,22,23,11,0,30.9,71.0,6,1006.9
2018/07/30 16:14,23,20,9,0,30.8,71.7,6,1006.7
2018/07/30 16:44,24,20,9,0,30.9,71.4,5,1006.8
2018/07/30 17:14,21,17,7,0,31.0,71.0,4,1006.5
2018/07/30 17:44,23,18,5,0,30.9,71.5,3,1006.5
2018/07/30 18:14,26,24,25,0,29.6,64.3,14,1006.5
2018/07/30 18:44,24,19,38,0,28.9,60.5,12,1006.5
2018/07/30 19:14,26,19,38,0,28.6,64.8,12,1006.8
2018/07/30 19:44,21,18,30,0,28.6,63.5,12,1007.0
2018/07/30 20:14,21,20,25,0,28.2,64.2,11,1007.2
2018/07/30 20:44,21,21,21,0,27.9,64.1,11,1007.5
2018/07/30 21:14,20,18,25,0,27.7,63.7,11,1007.7
2018/07/30 21:44,20,19,25,0,27.4,64.2,11,1007.7
2018/07/30 22:14,20,17,25,0,27.2,64.5,11,1007.7
2018/07/30 22:44,17,22,21,0,27.0,70.8,11,1007.5
2018/07/30 23:14,18,22,18,0,27.1,68.0,0,1007.2
2018/07/30 23:44,17,14,25,0,27.8,70.3,0,1007.2
2018/07/31 00:14,19,15,23,0,28.0,71.0,0,1007.1
2018/07/31 00:44,19,15,19,0,28.0,72.4,0,1006.6
2018/07/31 01:14,19,16,21,0,28.3,72.0,0,1006.6
2018/07/31 01:44,21,16,23,0,28.4,72.2,0,1006.4
2018/07/31 02:14,21,16,23,0,28.4,72.4,0,1006.4
2018/07/31 02:44,21,17,25,0,28.5,72.5,0,1006.2
2018/07/31 03:14,22,20,25,0,28.5,72.6,0,1006.0
2018/07/31 03:44,20,19,17,0,28.4,73.3,0,1006.2
2018/07/31 04:14,20,17,19,0,28.5,73.0,0,1006.1
2018/07/31 04:44,20,17,19,0,28.5,73.1,0,1006.1
2018/07/31 05:14,18,17,21,0,28.5,73.3,11,1006.2
2018/07/31 05:44,19,16,21,0,28.4,74.1,22,1006.6
2018/07/31 06:14,22,17,20,0,28.8,72.9,39,1006.4
2018/07/31 06:44,21,16,20,0,28.6,72.7,61,1006.7
2018/07/31 07:14,21,16,14,0,28.4,68.2,69,1006.7
2018/07/31 07:44,31,35,149,0,28.6,68.8,70,1006.9
2018/07/31 08:14,27,23,81,0,29.4,69.2,65,1006.9
2018/07/31 08:44,21,21,46,0,29.7,69.6,54,1006.8
2018/07/31 09:14,22,16,30,0,30.0,69.7,17,1006.8
2018/07/31 09:44,20,25,27,0,30.5,69.1,17,1006.5
2018/07/31 10:14,23,16,21,0,30.8,68.9,26,1006.3
2018/07/31 10:44,20,17,18,0,31.0,69.0,16,1006.0
2018/07/31 11:14,19,15,14,0,31.3,68.4,12,1005.8
2018/07/31 11:44,23,15,13,0,31.4,68.2,13,1005.3
2018/07/31 12:14,21,14,9,0,31.4,68.6,12,1004.9
2018/07/31 12:44,19,15,8,0,31.8,67.7,11,1004.6
2018/07/31 13:14,20,15,6,0,31.9,67.4,10,1004.1
2018/07/31 13:44,18,15,3,0,32.0,67.3,9,1003.8
2018/07/31 14:14,18,16,4,0,32.2,66.7,8,1003.5
2018/07/31 14:44,22,15,0,0,32.2,66.8,7,1003.3
2018/07/31 15:14,17,18,1,0,32.1,67.6,6,1003.2
2018/07/31 15:44,19,19,2,0,32.2,67.4,6,1002.9
2018/07/31 16:14,22,22,1,0,32.3,67.1,5,1002.7
2018/07/31 16:44,23,18,2,0,32.3,67.0,5,1002.5
2018/07/31 17:14,23,22,2,0,32.6,66.9,4,1002.8
2018/07/31 17:44,31,22,1,0,29.4,62.6,4,1002.5
2018/07/31 18:14,25,21,30,0,29.2,60.8,14,1002.8
2018/07/31 18:44,24,18,28,0,28.6,63.3,13,1003.0
2018/07/31 19:14,19,20,23,0,27.8,64.8,12,1003.2
2018/07/31 19:44,21,20,40,0,27.9,64.2,11,1003.5
2018/07/31 20:14,23,19,43,0,28.1,63.3,12,1003.9
2018/07/31 20:44,24,19,34,0,27.9,62.7,12,1003.8
2018/07/31 21:14,19,16,37,0,27.9,62.8,11,1003.9
2018/07/31 21:44,17,19,37,0,27.8,66.7,11,1003.9
2018/07/31 22:14,21,17,46,0,28.0,69.0,11,1003.8
2018/07/31 22:44,21,18,41,0,27.9,69.0,11,1003.8
2018/07/31 23:14,24,15,41,0,28.0,68.7,11,1003.5
2018/07/31 23:44,20,13,39,0,28.2,72.9,11,1003.2
2018/08/01 00:14,20,19,34,0,28.1,72.5,0,1003.0
2018/08/01 00:44,20,15,33,0,28.5,70.2,0,1002.6
2018/08/01 01:14,19,17,33,0,28.9,69.3,0,1002.5
2018/08/01 01:44,20,18,35,0,29.0,69.3,0,1002.6
2018/08/01 02:14,20,21,34,0,29.1,69.5,0,1002.5
2018/08/01 02:44,20,15,33,0,29.0,70.2,0,1002.6
2018/08/01 03:14,20,15,28,0,28.9,70.8,0,1002.5
2018/08/01 03:44,21,22,30,0,29.0,70.5,0,1002.6
2018/08/01 04:14,17,15,30,0,29.0,70.6,0,1002.7
2018/08/01 04:44,19,18,30,0,29.0,70.4,0,1002.9
2018/08/01 05:14,21,17,28,0,29.0,70.5,4,1003.1
2018/08/01 05:44,20,15,25,0,28.9,71.7,20,1003.0
2018/08/01 06:14,19,17,28,0,29.1,71.4,16,1002.9
2018/08/01 06:44,19,17,23,0,29.2,70.4,11,1002.9
2018/08/01 07:14,26,21,16,0,28.5,64.1,56,1002.8
2018/08/01 07:44,17,17,89,0,28.7,65.1,60,1002.9
2018/08/01 08:14,20,17,51,0,29.1,67.9,59,1002.7
2018/08/01 08:44,19,28,35,0,29.8,67.3,50,1002.5
2018/08/01 09:14,19,16,27,0,30.3,67.7,38,1002.4
2018/08/01 09:44,22,17,22,0,30.7,67.5,28,1002.2
2018/08/01 10:14,21,19,15,0,31.1,67.3,22,1002.0
2018/08/01 10:44,20,19,14,0,31.4,67.0,16,1001.8
2018/08/01 11:14,20,21,13,0,31.8,66.6,14,1001.7
2018/08/01 11:44,21,19,8,0,32.0,66.3,15,1001.3
2018/08/01 12:14,24,23,0,0,31.4,65.6,13,1001.1
2018/08/01 12:44,24,23,3,0,30.4,61.5,13,1000.7
2018/08/01 13:14,25,24,6,0,29.9,61.8,11,1000.3
2018/08/01 13:44,26,19,0,0,29.7,64.6,9,1000.1
2018/08/01 14:14,25,23,7,0,29.7,64.3,7,999.9
2018/08/01 14:44,25,28,11,0,29.7,63.3,6,999.7
2018/08/01 15:14,25,26,8,0,29.6,62.7,5,999.8
2018/08/01 15:44,27,25,7,0,29.7,61.5,5,999.8
2018/08/01 16:14,25,20,5,0,29.4,61.8,7,999.9
2018/08/01 16:44,23,22,6,0,29.2,62.4,3,999.9
2018/08/01 17:14,23,21,2,0,28.9,62.8,2,1000.5
2018/08/01 17:44,24,19,3,0,28.8,63.1,5,1000.8
2018/08/01 18:14,19,18,3,0,28.6,63.9,13,1001.0
2018/08/01 18:44,24,16,6,0,28.6,62.5,12,1001.1
2018/08/01 19:14,20,19,5,0,28.5,62.5,11,1001.3
2018/08/01 19:44,19,20,7,0,28.5,62.5,12,1001.6
2018/08/01 20:14,20,15,1,0,28.5,62.1,11,1001.9
2018/08/01 20:44,21,17,0,0,28.4,61.7,11,1002.1
2018/08/01 21:14,22,15,0,0,28.2,61.5,11,1002.2
2018/08/01 21:44,19,22,0,0,28.0,61.5,11,1002.2
2018/08/01 22:14,22,20,1,0,27.8,61.8,11,1002.5
2018/08/01 22:44,21,19,3,0,27.8,68.6,11,1002.6
2018/08/01 23:14,18,19,3,0,27.8,70.7,12,1002.6
2018/08/01 23:44,23,22,6,0,27.9,65.3,11,1002.6
2018/08/02 00:14,23,17,11,0,27.9,69.7,11,1002.5
2018/08/02 00:44,23,19,2,0,27.6,73.6,11,1002.4
2018/08/02 01:14,26,21,8,0,28.4,68.1,0,1002.3
2018/08/02 01:44,24,23,12,0,28.9,68.0,0,1002.4
2018/08/02 02:14,22,22,6,0,29.0,68.9,0,1002.4
2018/08/02 02:44,23,22,9,0,28.9,69.7,0,1002.4
2018/08/02 03:14,25,20,9,0,28.9,70.5,0,1002.7
2018/08/02 03:44,23,19,6,0,29.3,69.5,0,1002.7
2018/08/02 04:14,23,22,5,0,29.1,70.3,0,1002.9
2018/08/02 04:44,24,23,4,0,29.1,70.8,0,1003.0
2018/08/02 05:14,25,19,3,0,29.2,71.0,4,1003.1
2018/08/02 05:44,25,22,2,0,29.3,71.1,17,1003.3
2018/08/02 06:14,21,19,2,0,29.6,70.3,33,1003.6
